27497 274 1017 100 274 1017 100 274 1017 100 274 1017 100 273 1017 100 276 1012 86 
23773 273 1017 97 273 1017 97 273 1017 97 273 1017 97 273 1017 97 276 1010 86 
20049 273 1017 97 273 1017 97 273 1017 97 273 1017 97 273 1017 97 276 1010 86 
16325 272 1017 97 273 1017 97 272 1017 97 273 1017 97 273 1017 97 276 1008 86 
12722 275 1017 93 275 1017 93 275 1017 93 275 1017 93 273 1017 93 276 1007 86 
9060 274 1017 86 274 1017 86 274 1017 86 274 1017 86 273 1017 86 276 1006 93 
5458 276 1018 86 276 1018 86 276 1018 86 276 1018 86 273 1018 86 276 1006 93 
1857 276 1018 86 276 1018 86 276 1018 86 276 1018 86 274 1018 86 276 1005 93 
84473 273 1018 86 273 1018 86 273 1018 86 273 1018 86 274 1018 86 276 1004 86 
80810 274 1018 80 274 1018 80 274 1018 80 274 1018 80 275 1018 80 276 1004 86 
77208 275 1018 80 275 1018 80 275 1018 80 275 1018 80 275 1018 80 277 1003 86 
73481 276 1018 80 276 1018 80 276 1018 80 276 1018 80 275 1018 80 277 1003 75 
69879 275 1018 86 276 1018 86 275 1018 86 275 1018 86 276 1018 86 278 1002 70 
66278 277 1018 94 277 1018 94 277 1018 94 277 1018 94 276 1018 94 275 957 95 
62614 278 1017 94 277 1017 94 278 1017 94 278 1017 94 276 1017 94 275 957 95 
59010 279 1017 75 279 1017 75 280 1017 70 279 1017 75 276 1017 75 279 1001 65 
55223 280 1016 70 279 1016 70 280 1016 70 280 1016 70 277 1016 70 279 1001 93 
51613 279 1016 70 279 1016 70 279 1016 70 279 1016 70 277 1016 70 280 1001 92 
48010 278 1016 75 278 1016 75 278 1016 75 278 1016 75 276 1016 75 279 1001 65 
44403 278 1015 75 278 1015 75 278 1015 75 278 1015 75 276 1015 75 277 1002 97 
40800 278 1015 80 278 1015 80 278 1015 80 278 1015 80 275 1015 80 276 1002 97 
37137 277 1015 80 277 1015 80 277 1015 80 277 1015 80 276 1014 80 275 1002 80 
33535 276 1013 86 277 1013 86 276 1013 86 276 1013 86 275 1013 86 275 1003 83 
29934 276 1012 86 276 1012 86 276 1012 86 276 1012 86 275 1012 86 273 1003 83 
